Sr.No,UIN,policy name,Term,Bonus Rate % Of Basic Sum Assured,,,,,,
,,,,2021,2020,2019,2018,2017,5 Yr Avg/Fixed, 
1,512N277V02,LIC�s NEW ENDOWMENT PLAN ,< 11,3.00,3.00,3.40,3.40,3.40,3.24,
,,,11 to 15,3.40,3.40,3.80,3.80,3.80,3.64,
,,,16 to 20,3.80,3.80,4.20,4.20,4.20,4.04,
,,,> 20,4.40,4.40,4.80,4.80,4.80,4.64,
2, 512N279V02,LIC�S NEW JEEVAN ANAND,<11,3.30,3.30,3.80,3.80,3.80,3.60,
,,,11 to 15,3.60,3.60,3.80,3.80,3.80,3.72,
,,,16 to 20,4.00,4.00,4.10,4.10,4.10,4.06,
,,,> 20,4.40,4.40,4.50,4.50,4.50,4.46,
3,512N283V02,LIC�s SINGLE PREMIUM ENDOMENT PLAN,10 to 15,3.80,3.80,4.10,4.10,4.10,3.98,
,,,16 to 20,4.30,4.30,4.60,4.60,4.60,4.48,
,,,> 20,4.80,4.80,5.10,5.10,5.10,4.98,
4,512N297V02,LIC�s JEEVAN LAKSHYA,13 to 15,3.80,3.80,4.10,4.10,4.10,3.98,
,,,16 to 20,4.20,4.20,4.50,4.50,4.50,4.38,
,,,> 20,4.60,4.60,4.90,4.90,4.90,4.78,
5,512N296V02,New Children Money Back Plan,13 to 15,3.50,3.50,3.80,3.80,3.80,3.68,
,,,16 to 20,3.90,3.90,4.20,4.20,4.20,4.08,
,,,> 20,4.50,4.50,4.80,4.80,4.80,4.68,
6,512N312V01,LIC Jeevan Umang Plan,<55,4.80,4.80,5.10,5.10,5.10,4.98,
,,,56-70,5.70,5.70,6.00,6.00,6.00,5.88,
,,,71-85,6.00,6.00,6.70,6.70,6.70,6.42,
,,,86-100,6.40,6.40,6.70,6.70,6.70,6.58,
6,512N312V02,LIC Jeevan Umang Plan,<55,4.80,4.80,5.10,5.10,5.10,4.98,
,,,56-70,5.70,5.70,6.00,6.00,6.00,5.88,
,,,71-85,6.00,6.00,6.70,6.70,6.70,6.42,
,,,86-100,6.40,6.40,6.70,6.70,6.70,6.58,
7,512N299V01,LIC Jeevan Tarun,13 to 15,3.50,3.50,3.80,3.80,3.80,3.68,
,,,16 to 20,3.90,3.90,4.20,4.20,4.20,4.08,
,,,> 20,4.50,4.50,4.80,4.80,4.80,4.68,
7,512N299V02,LIC Jeevan Tarun,13 to 15,3.50,3.50,3.80,3.80,3.80,3.68,
,,,16 to 20,3.90,3.90,4.20,4.20,4.20,4.08,
,,,> 20,4.50,4.50,4.80,4.80,4.80,4.68,
8, 512N278V02,LIC's New Money Back Plan-25 years,20,3.50,3.50,3.90,3.90,3.90,3.74,
,,,25,4.00,4.00,4.40,4.40,4.40,4.24,
9,512N306V01,LIC's jeevan Pragati Plan ,12 to 15,3.40,3.40,3.70,3.70,3.70,3.58,
,,,16 to 20,3.80,3.80,4.10,4.10,4.10,3.98,
10,512N280V02,LIC's New Money Back Plan-20 years,20,3.50,3.50,3.90,3.90,3.90,3.74,
,,,25,4.00,4.00,4.40,4.40,4.40,4.24,
11,512N304V01,LIC's Jeevan labh,16,4.00,4.00,4.30,4.30,4.30,4.18,
,,,21,4.40,4.40,4.70,4.70,4.70,4.58,
,,,25,4.70,4.70,5.00,5.00,5.00,4.88,
11,512N304V02,LIC's Jeevan labh,16,4.00,4.00,4.30,4.30,4.30,4.18,
,,,21,4.40,4.40,4.70,4.70,4.70,4.58,
,,,25,4.70,4.70,5.00,5.00,5.00,4.88,
